Individual,one_minus_r2,R2,Fitness,Generation,EvalIndex,Status
"[221.57166594124524, 96.88236658714678, 0.9096872477723252]",0.30026871682807177,0.6997312831719282,0.30026871682807177,4,125,OK
"[238.5734085424859, 78.55623875355224, 0.9251664300234782]",0.314967880247228,0.685032119752772,0.314967880247228,4,126,OK
"[198.58487998576544, 61.20883846335086, 0.3053013662495034]",0.019122661577615996,0.980877338422384,0.019122661577615996,4,127,OK
"[201.6817065501865, 107.6138018022071, 0.3235470628705421]",0.03201993859086061,0.9679800614091394,0.03201993859086061,4,128,OK
"[157.03902275168966, 56.71347769153332, 0.7746430223077929]",0.1788706429705672,0.8211293570294328,0.1788706429705672,5,129,OK
"[205.98533469385865, 86.25951462554815, 0.23182590521488]",0.037287367349343015,0.962712632650657,0.037287367349343015,5,130,OK
"[90.52144333288956, 32.73785370286054, 0.4430687682100535]",1.3575865973595775,-0.35758659735957754,1.3575865973595775,5,131,OK
"[190.47556482335753, 37.66079152025795, 0.5011887310734751]",0.015751542948218455,0.9842484570517815,0.015751542948218455,5,132,OK
"[143.73026355510035, 25.0, 0.45089131880189776]",0.29641761216448326,0.7035823878355167,0.29641761216448326,5,133,OK
"[144.10645204545386, 34.77563431367669, 0.5975158682333239]",0.3240508413268848,0.6759491586731152,0.3240508413268848,5,134,OK
"[227.68556503774084, 25.002630681992585, 0.4339736488932156]",0.19200568481631464,0.8079943151836854,0.19200568481631464,5,135,OK
"[194.27113859836737, 64.65925179589728, 0.5108598807982532]",0.019553769907495022,0.980446230092505,0.019553769907495022,5,136,OK
"[198.48742751513055, 61.20883846335086, 0.3244851662425268]",0.017999472443963938,0.9820005275560361,0.017999472443963938,5,137,CACHE
"[198.58487998576544, 61.20883846335086, 0.3053013662495034]",0.019122661577615996,0.980877338422384,0.019122661577615996,5,138,CACHE
"[199.93145183725292, 106.29689470717615, 0.31709248061768364]",0.026778079327135385,0.9732219206728646,0.026778079327135385,5,139,OK
"[200.8266146512365, 106.29689470717615, 0.32396993650852673]",0.029321408682482564,0.9706785913175174,0.029321408682482564,5,140,OK
"[201.6817065501865, 25.450845505483485, 0.3189056842613156]",0.055329932655393654,0.9446700673446063,0.055329932655393654,5,141,OK
"[205.77100909578135, 115.77941894066488, 0.6077002676694185]",0.08807022472341508,0.9119297752765849,0.08807022472341508,5,142,OK
"[212.32076852172256, 67.7418079371939, 0.3363734810973324]",0.06183255312769376,0.9381674468723062,0.06183255312769376,5,143,OK
"[209.6558983235731, 100.36005280749973, 0.4960933819191705]",0.06187121358158787,0.9381287864184121,0.06187121358158787,5,144,CACHE
"[165.29074850500103, 54.54653409071485, 0.8488318443287322]",0.11840031309661747,0.8815996869033825,0.11840031309661747,5,145,OK
"[213.5928764964629, 97.85789726784377, 0.3053013662495034]",0.07137976175214344,0.9286202382478566,0.07137976175214344,5,146,OK
"[154.3760878366239, 30.77460574823224, 0.1927886206768101]",0.16094433728897983,0.8390556627110202,0.16094433728897983,5,147,OK
"[206.12509824083185, 86.13383048969835, 0.4953560176571951]",0.04483736047900788,0.9551626395209921,0.04483736047900788,5,148,OK
"[161.20155508850902, 106.17660371393471, 0.09580829388337103]",0.1475767506801252,0.8524232493198748,0.1475767506801252,5,149,OK
"[204.51959852564647, 112.13101796587148, 0.7489615732070369]",0.21272826635851938,0.7872717336414806,0.21272826635851938,5,150,OK
"[229.8165748843359, 77.95966012960868, 0.8869027264661001]",0.22079820746728074,0.7792017925327193,0.22079820746728074,5,151,CACHE
