Individual,one_minus_r2,R2,Fitness,Generation,EvalIndex,Status
"[55.65773164490065, 49.884434141879936, 0.04599435699210112]",9.486333742124717,-8.486333742124717,9.486333742124717,1,59,OK
"[128.81535031088964, 70.27802626644372, 0.484029274306812]",2.2147305749769113,-1.2147305749769113,2.2147305749769113,1,60,OK
"[69.5971997583537, 66.117339770436, 0.6391656980022871]",999999.999,-inf,999999.999,1,61,ABAQUS_FAIL(code=0)
"[80.96665568804728, 62.230999363810675, 0.12075258939862576]",7.058358293597066,-6.058358293597066,7.058358293597066,1,62,OK
"[61.81491936744085, 58.7241733990688, 0.32147885647021524]",999999.999,-inf,999999.999,1,63,ABAQUS_FAIL(code=0)
"[144.349503709984, 132.32322305783487, 0.5294710007365301]",999999.999,-inf,999999.999,1,64,ABAQUS_FAIL(code=0)
"[84.38283460238364, 66.98352210217811, 0.6218791410281543]",999999.999,-inf,999999.999,1,65,ABAQUS_FAIL(code=0)
"[165.83856308615174, 30.260944719027528, 0.5612867865666716]",0.5298243911442727,0.4701756088557273,0.5298243911442727,1,66,OK
"[191.32999906600338, 55.76833402721478, 0.4010148606254074]",0.427883749864471,0.572116250135529,0.427883749864471,1,67,OK
"[94.2528864223085, 39.665035771191015, 0.5535749034383144]",5.627990784050828,-4.627990784050828,5.627990784050828,2,68,OK
"[132.3105458942741, 69.17664831789128, 0.8821715405341856]",999999.999,-inf,999999.999,2,69,ABAQUS_FAIL(code=0)
"[68.73485039830717, 61.861365358476455, 0.9013883582421994]",999999.999,-inf,999999.999,2,70,ABAQUS_FAIL(code=0)
"[56.066745761071594, 50.460071184964434, 0.8318048346617357]",999999.999,-inf,999999.999,2,71,ABAQUS_FAIL(code=0)
"[169.58036748419713, 77.1534356610026, 0.2120227561577094]",0.3398853149755354,0.6601146850244646,0.3398853149755354,2,72,OK
"[190.52382530698944, 55.76833402721478, 0.4010148606254074]",0.4143383433438783,0.5856616566561217,0.4143383433438783,2,73,OK
"[179.35173553783002, 74.9303188984899, 0.42178740085414357]",0.4281939595734813,0.5718060404265187,0.4281939595734813,2,74,OK
"[192.16880221492653, 40.2081368947117, 0.5788496823199765]",0.4562027258905468,0.5437972741094532,0.4562027258905468,2,75,OK
"[146.12934011971976, 33.19214680329668, 0.6472874542689511]",1.2081600820075589,-0.20816008200755887,1.2081600820075589,2,76,OK
"[155.80339622101275, 28.38395004944955, 0.24067344634659826]",0.6724510545120257,0.3275489454879743,0.6724510545120257,2,77,OK
"[195.65362594123806, 64.91906862038688, 0.8396988918372387]",0.6971204787202323,0.3028795212797677,0.6971204787202323,2,78,OK
"[155.6570406714655, 32.92641152826122, 0.1723293340027774]",1.023513901353214,-0.023513901353213962,1.023513901353214,2,79,OK
"[135.54571499923912, 66.11654299917252, 0.6521151662440878]",1.7156944171460076,-0.7156944171460076,1.7156944171460076,2,80,OK
"[115.21505397440616, 47.12610785378197, 0.862429910611035]",2.885409335930967,-1.8854093359309672,2.885409335930967,2,81,OK
"[147.67860741665407, 69.24760569355801, 0.5379554005104535]",1.1474770065258446,-0.1474770065258446,1.1474770065258446,2,82,OK
"[116.50051216779931, 28.16163950012219, 0.761516821322861]",3.304356766943818,-2.304356766943818,3.304356766943818,2,83,OK
"[116.7739580639803, 26.55179315181871, 0.04162906833918606]",5.709989057536241,-4.709989057536241,5.709989057536241,2,84,OK
"[55.50936589815875, 52.73389760325081, 0.047368159468367]",9.323589649998938,-8.323589649998938,9.323589649998938,2,85,OK
"[81.12792825272942, 49.884434141879936, 0.04502591320843882]",6.725490231752194,-5.725490231752194,6.725490231752194,2,86,OK
"[55.192769277411564, 52.433130813540984, 0.594898106209327]",999999.999,-inf,999999.999,2,87,ABAQUS_FAIL(code=0)
"[192.6690843689255, 79.30299566293957, 0.6271948285943812]",0.5913344041283344,0.4086655958716656,0.5913344041283344,2,88,OK
"[177.12730956371678, 29.258331916523588, 0.15276304591689926]",1.1456079650927542,-0.1456079650927542,1.1456079650927542,2,89,OK
"[175.5606668917486, 61.31364762686105, 0.983275536042422]",0.6096318601571306,0.39036813984286944,0.6096318601571306,3,90,OK
"[95.63143212676326, 86.06828891408693, 0.24209333680361603]",999999.999,-inf,999999.999,3,91,ABAQUS_FAIL(code=0)
"[59.40998427084911, 53.4689858437642, 0.6911987480196438]",999999.999,-inf,999999.999,3,92,ABAQUS_FAIL(code=0)
"[169.82792728251206, 70.39405155868602, 0.5316990430078814]",0.5241351739218928,0.4758648260781072,0.5241351739218928,3,93,OK
"[169.58036748419713, 51.71375507031088, 0.2089493134826631]",0.5103594607793883,0.4896405392206117,0.5103594607793883,3,94,OK
"[191.85743730532565, 77.97681132229016, 0.40408830503305093]",0.44485794893767994,0.5551420510623201,0.44485794893767994,3,95,OK
"[175.19379901109795, 78.3654078725705, 0.588519057750363]",0.5064431687091522,0.4935568312908478,0.5064431687091522,3,96,OK
"[192.16880221492653, 36.777508507596096, 0.41211802542374115]",0.4628599147054513,0.5371400852945487,0.4628599147054513,3,97,OK
"[165.83856308615174, 30.260944719027528, 0.5612867865666716]",0.5298243911442727,0.4701756088557273,0.5298243911442727,3,98,CACHE
"[192.6690843689255, 85.81348418031496, 0.6271948285943812]",0.6121721679541303,0.3878278320458697,0.6121721679541303,3,99,OK
"[195.65362594123806, 67.90401448249159, 0.8396988918372387]",0.6891258884485024,0.3108741115514976,0.6891258884485024,3,100,OK
"[174.93738045857341, 32.95346396670135, 0.17258701140953334]",0.8771029623371887,0.12289703766281135,0.8771029623371887,3,101,OK
"[157.84696965816264, 29.23127949502586, 0.15250536851014332]",1.1258151521658668,-0.1258151521658668,1.1258151521658668,3,102,OK
"[147.67860741665407, 69.95528216347466, 0.5407155494894139]",1.1449994915849906,-0.1449994915849906,1.1449994915849906,3,103,OK
"[146.12934011971976, 32.49712521451845, 0.6445273052899817]",1.2000477334403814,-0.2000477334403814,1.2000477334403814,3,104,OK
"[115.67370333981835, 47.46075565657955, 0.6521151662440878]",3.3365473719897585,-2.3365473719897585,3.3365473719897585,3,105,OK
"[135.08706563382665, 65.78189525323036, 0.862429910611035]",1.2674877280511374,-0.2674877280511374,1.2674877280511374,3,106,OK
"[91.52159788182338, 31.761728128105858, 0.7464345632994069]",5.879711810421538,-4.879711810421538,5.879711810421538,3,107,OK
"[118.64757505023789, 38.77474490876382, 0.7232489254157844]",3.0910670336126405,-2.0910670336126405,3.0910670336126405,3,108,OK
"[63.16078567726932, 61.861365358476455, 0.9013883582421994]",999999.999,-inf,999999.999,3,109,ABAQUS_FAIL(code=0)
"[169.1228890253763, 82.85448343175793, 0.21213895804713356]",0.3526991169480267,0.6473008830519733,0.3526991169480267,3,110,OK
"[179.0804424463346, 77.1534356610026, 0.20873192135058805]",0.3783170087370966,0.6216829912629034,0.3783170087370966,3,111,OK
"[87.66769523641096, 78.90092571276988, 0.04400666287024845]",6.264840619552128,-5.264840619552128,6.264840619552128,4,112,OK
"[103.82409799716254, 59.987771194876764, 0.060268275186716055]",4.362276807515268,-3.3622768075152676,4.362276807515268,4,113,OK
"[189.32243603522065, 106.88701825509561, 0.7529848168719464]",999999.999,-inf,999999.999,4,114,ABAQUS_FAIL(code=0)
"[184.20952661230677, 25.191781951007997, 0.517454849172344]",0.34526532743527993,0.6547346725647201,0.34526532743527993,4,115,OK
"[187.15719327462315, 82.85448343175793, 0.21213895804713356]",0.47923394726900725,0.5207660527309927,0.47923394726900725,4,116,OK
"[174.75144594791698, 77.1534356610026, 0.2445589617590439]",0.3064409465844339,0.6935590534155661,0.3064409465844339,4,117,OK
"[191.33843184432016, 38.272501497523805, 0.4093320888048743]",0.4339106422915958,0.5660893577084042,0.4339106422915958,4,118,OK
"[179.4299752072274, 79.1041953747285, 0.24482931786484316]",0.31400818759459215,0.6859918124054079,0.31400818759459215,4,119,OK
"[169.41823971909227, 51.58398392635819, 0.5904126590584913]",0.5202390471534456,0.4797609528465544,0.5202390471534456,4,120,OK
"[165.70425613384182, 70.39405155868602, 0.5316990430078814]",0.5936673795170035,0.40633262048299645,0.5936673795170035,4,121,OK
"[167.43281766377862, 30.260944719027528, 0.5612867865666716]",0.5025229157846638,0.4974770842153362,0.5025229157846638,4,122,OK
"[175.5606668917486, 61.31364762686105, 0.9511734004428585]",0.5727712832392288,0.42722871676077123,0.5727712832392288,4,123,OK
"[193.01223969472846, 85.81348418031496, 0.6271948285943812]",0.6151177845918743,0.3848822154081257,0.6151177845918743,4,124,OK
"[156.63969131021062, 67.64125930525483, 0.24067344634659826]",0.6213802906997037,0.3786197093002963,0.6213802906997037,4,125,OK
"[194.77364588574235, 28.724866600594158, 0.8396988918372387]",0.5831622454401998,0.4168377545598002,0.5831622454401998,4,126,OK
"[176.08437418080445, 32.95346396670135, 0.17258701140953334]",0.869762002566973,0.130237997433027,0.869762002566973,4,127,OK
"[156.69997591850904, 29.23127949502586, 0.15250536851014332]",1.127751004579218,-0.12775100457921806,1.127751004579218,4,128,OK
"[135.98199258750043, 32.49712521451845, 0.6445273052899817]",1.6889972174538777,-0.6889972174538777,1.6889972174538777,4,129,OK
"[135.08706563382665, 68.46935559241368, 0.8523561365647616]",1.1433173246212034,-0.1433173246212034,1.1433173246212034,4,130,OK
"[104.99765705319196, 38.77474490876382, 0.7153478915620505]",4.410302653180795,-3.4103026531807954,4.410302653180795,4,131,OK
"[169.58036748419713, 77.1534356610026, 0.21001901518807667]",0.3409463583996125,0.6590536416003875,0.3409463583996125,4,132,OK
"[69.69324251561042, 62.72391826404938, 0.6776466113801922]",999999.999,-inf,999999.999,5,133,ABAQUS_FAIL(code=0)
"[105.28640910425322, 30.724953634823333, 0.5702618805208935]",4.4139777478225115,-3.4139777478225115,4.4139777478225115,5,134,OK
"[175.9310386843063, 54.93363856026002, 0.7720504603883505]",0.516008704152173,0.48399129584782696,0.516008704152173,5,135,OK
"[153.25779398332816, 110.57555592437112, 0.021290209441581727]",1.9204364196443973,-0.9204364196443973,1.9204364196443973,5,136,OK
"[180.5232728495605, 64.6525098583862, 0.24782390532684528]",0.4052306354672316,0.5947693645327684,0.4052306354672316,5,137,OK
"[155.43837795107265, 74.55208440002548, 0.1871285123919332]",0.6087102229224276,0.3912897770775724,0.6087102229224276,5,138,OK
"[200.0, 70.36780718598868, 0.3003854470053386]",0.7149067136650791,0.2850932863349209,0.7149067136650791,5,139,OK
"[142.29166483967535, 86.5171501590706, 0.18841398194992243]",1.2644727430106024,-0.2644727430106024,1.2644727430106024,5,140,OK
"[174.75144594791698, 77.1534356610026, 0.2445589617590439]",0.3064409465844339,0.6935590534155661,0.3064409465844339,5,141,CACHE
"[179.22072064949415, 78.69013734757586, 0.20884812324001217]",0.3746688472242814,0.6253311527757186,0.3746688472242814,5,142,OK
"[191.33843184432016, 38.88557207372786, 0.4093320888048743]",0.42522268254080986,0.5747773174591901,0.42522268254080986,5,143,OK
"[191.85743730532565, 82.92742053911223, 0.21609540188243534]",0.575571049745779,0.424428950254221,0.575571049745779,5,144,OK
"[186.5352884860996, 77.90387421493585, 0.40013186122033595]",0.4127093970991328,0.5872906029008672,0.4127093970991328,5,145,OK
"[172.7792381734943, 50.692835679031916, 0.5514631224790305]",0.4676539650602707,0.5323460349397293,0.4676539650602707,5,146,OK
"[167.4118507212743, 31.15259169987167, 0.5904126590584913]",0.5017347013969751,0.49826529860302493,0.5017347013969751,5,147,OK
"[175.5606668917486, 61.31364762686105, 0.9511734004428585]",0.5727712832392288,0.42722871676077123,0.5727712832392288,5,148,CACHE
"[194.77364588574235, 28.724866600594158, 0.8396988918372387]",0.5831622454401998,0.4168377545598002,0.5831622454401998,5,149,CACHE
"[161.97883562113293, 70.39405155868602, 0.5055866939178606]",0.6672655297668375,0.3327344702331625,0.6672655297668375,5,150,OK
"[156.63969131021062, 70.70626080909308, 0.24067344634659826]",0.5887759057056768,0.41122409429432316,0.5887759057056768,5,151,OK
"[176.08437418080445, 32.95346396670135, 0.17258701140953334]",0.869762002566973,0.130237997433027,0.869762002566973,5,152,CACHE
"[156.69997591850904, 30.612097335098362, 0.15250536851014332]",1.1947245849379613,-0.1947245849379613,1.1947245849379613,5,153,OK
"[169.58036748419713, 77.1534356610026, 0.2120227561577094]",0.3398853149755354,0.6601146850244646,0.3398853149755354,5,154,CACHE
"[169.1228890253763, 79.22827971436264, 0.20877053194316023]",0.3487295402134194,0.6512704597865806,0.3487295402134194,5,155,OK
"[179.22072064949415, 82.92919938033485, 0.2122165493439855]",0.3536489120638966,0.6463510879361034,0.3536489120638966,5,156,OK
"[66.32210974411963, 59.68989876970767, 0.6625085905781537]",999999.999,-inf,999999.999,6,157,ABAQUS_FAIL(code=0)
"[174.75144594791698, 71.59803129151376, 0.1747608506007995]",0.50993152029672,0.49006847970328005,0.50993152029672,6,158,OK
"[179.4299752072274, 79.1041953747285, 0.24482931786484316]",0.31400818759459215,0.6859918124054079,0.31400818759459215,6,159,CACHE
"[184.20952661230677, 25.191781951007997, 0.517454849172344]",0.34526532743527993,0.6547346725647201,0.34526532743527993,6,160,CACHE
"[174.40607466094326, 79.22827971436264, 0.20877053194316023]",0.33756960485902976,0.6624303951409702,0.33756960485902976,6,161,OK
"[179.22072064949415, 82.92919938033485, 0.17265927784932103]",0.4593706520386076,0.5406293479613924,0.4593706520386076,6,162,OK
"[186.43569331327507, 81.64208731118572, 0.20884812324001217]",0.47328585204705353,0.5267141479529465,0.47328585204705353,6,163,OK
"[180.5232728495605, 78.83271103762699, 0.24782390532684528]",0.31967060947222325,0.6803293905277767,0.31967060947222325,6,164,OK
"[186.5352884860996, 63.72367303569507, 0.40013186122033595]",0.34112713720787635,0.6588728627921236,0.34112713720787635,6,165,OK
"[191.33843184432016, 38.88557207372786, 0.40397364761241333]",0.44398666622319005,0.55601333377681,0.44398666622319005,6,166,OK
"[172.7792381734943, 50.692835679031916, 0.5280866175600211]",0.45066146332450985,0.5493385366754902,0.45066146332450985,6,167,OK
"[167.4118507212743, 31.15259169987167, 0.5898901985079256]",0.5011781377140613,0.4988218622859387,0.5011781377140613,6,168,OK
"[175.9310386843063, 54.93363856026002, 0.7720504603883505]",0.516008704152173,0.48399129584782696,0.516008704152173,6,169,CACHE
"[172.0535590139425, 61.31364762686105, 0.8721737734154063]",0.6039337810153182,0.39606621898468175,0.6039337810153182,6,170,OK
"[191.85743730532565, 78.58530642098897, 0.2103152308606842]",0.5874044851004934,0.41259551489950663,0.5874044851004934,6,171,OK
"[194.77364588574235, 39.871849160536584, 0.24352689301322994]",0.6918777491875587,0.30812225081244127,0.6918777491875587,6,172,OK
"[174.75144594791698, 75.38155067591093, 0.8410362531308692]",0.5883732954617603,0.4116267045382397,0.5883732954617603,6,173,OK
"[179.22860488694243, 79.1041953747285, 0.24454687126001642]",0.31303504167837737,0.6869649583216226,0.31303504167837737,6,174,OK
"[167.2596843586063, 77.1534356610026, 0.22243128372190665]",0.36744219948900425,0.6325578005109957,0.36744219948900425,6,175,OK
